authors,dates,statements,sources,targets,BianryTarget,BianryNumTarget
Ciara O'Rourke,"August 6, 2024",Photo shows Israeli swimmers protesting Olympic rules by spelling out “bring them home.”,Facebook posts,false,Fake,0
Jeff Cercone,"August 6, 2024",“Nowhere on her birth certificate does it say that she is BLACK OR AFRICAN. …  Kamala Harris is NOT black and never has been.”,Laura Loomer,false,Fake,0
Louis Jacobson,"August 6, 2024","""Since Vice President Harris and I took office … incomes have risen faster than prices.""",Joe Biden,mostly-true,Real,1
Ciara O'Rourke,"August 5, 2024",Video shows a “strong tornado in Atlanta.”,Viral image,false,Fake,0
Ciara O'Rourke,"August 5, 2024",Says Simone Biles “announces retirement” and “reveals she is ‘expecting a baby.’”,Facebook posts,false,Fake,0
Jeff Cercone,"August 5, 2024","Olympic air pistol shooting medalist took up the sport during his divorce and told his ex-wife from the podium, “I want my dog back.”",Instagram posts,false,Fake,0
Kwasi Gyamfi,"• August 2,","""Samsung drops out of $1 billion advertising campaign with Olympics.""",Facebook posts,false,Fake,0
Marta Campabadal,"• August 2,","""Mark Zuckerberg, CEO de Meta, ha retirado la verificación” de Nicolás Maduro en Facebook e Instagram.",Facebook posts,false,Fake,0
Maria Briceño,"August 2, 2024",El 31 de julio de 2024 confirmaron el fallecimiento del expresidente Donald Trump en un accidente de helicóptero.,Facebook posts,false,Fake,0
Jill Terreri,"• August 2,",Biden Executive Order 14019  “requires our taxpayer-funded federal agencies to violate the Hatch Act and engage in illegal vote harvesting.”,Claudia Tenney,pants-fire,Fake,0
Sara Swann,"August 1, 2024",Vice President Kamala Harris “was born in Canada.”,Threads posts,pants-fire,Fake,0
Ciara O'Rourke,"July 31, 2024",Switzerland “no longer recognizes Islam as an official religion.”,Threads posts,false,Fake,0
Ciara O'Rourke,"July 31, 2024",“Netflix loses 6 million subscribers within hours of donation announcement.”,Facebook posts,false,Fake,0
Maria Briceño,"July 31, 2024",“Estados Unidos decide INVADIR VENEZUELA”.,Facebook posts,false,Fake,0
Ciara O'Rourke,"July 31, 2024",President Joe Biden “killed his first wife.”,Instagram posts,pants-fire,Fake,0
Samantha Putterman,"July 31, 2024","Kamala Harris was “Indian all the way, and then all of a sudden, she made a turn and she went, she became a Black person.”",Donald Trump,pants-fire,Fake,0
Louis Jacobson,"July 31, 2024","""Donald Trump intends to cut Social Security.""",Kamala Harris,barely-true,Fake,0
Louis Jacobson,"July 31, 2024","“Even before the pandemic, America went into a manufacturing recession.”",Pete Buttigieg,mostly-true,Real,1
Madison Czopek,"July 31, 2024",Video shows that “JD Vance endorses Project 2025.”,Kamala Harris,false,Fake,0
Kwasi Gyamfi,"• July 31,","""Kamala just launched her presidential campaign on RuPaul's Drag Race.""",Social Media,false,Fake,0
Ciara O'Rourke,"July 31, 2024","Says Kamala Harris tweeted, “It’s BLACK LIVES MATTER, not ‘Biden Loves Minors!’”",Viral image,false,Fake,0
Ciara O'Rourke,"July 31, 2024",Says Kamala Harris proposed on X that “we have the next debate at a venue Donald Trump feels more comfortable: Jeffrey Epstein’s townhouse.”,Viral image,false,Fake,0
Stephanie Armour,"July 31, 2024",Vice President Kamala Harris “endorsed free taxpayer-funded government health care for all illegal aliens.”,Donald Trump,barely-true,Fake,0
Loreben Tuquero,"July 31, 2024",Sen. JD Vance is “known for his obsession with couches.”,JB Pritzker,pants-fire,Fake,0
Maria Briceño,"July 30, 2024",Este video muestra un robo de votos en la elección del 2024 en Venezuela.,Instagram posts,false,Fake,0
Sara Swann,"July 30, 2024",Video shows “thousands of Christians in France gathered to pray after Olympics opening mocked Jesus Christ.”,Instagram posts,false,Fake,0
Grace Abels,"July 30, 2024",Project 2025 would end gay marriage.,Social Media,false,Fake,0
Mia Penner,"July 30, 2024",“Netflix stock tumbles almost 40%” after the company donated to Kamala Harris’ campaign.,Facebook posts,false,Fake,0
Samantha Putterman,"July 30, 2024",Vice President Kamala Harris is “calling for an end to the child tax credit.”,JD Vance,pants-fire,Fake,0
Maria Briceño,"July 30, 2024",Video shows “several masked men stormed a local voting station and stole the ballot boxes” in Venezuela’s 2024 election.,X posts,false,Fake,0
Amy Sherman,"July 30, 2024",Kamala Harris “wants to defund the police.”,Donald Trump,barely-true,Fake,0
Loreben Tuquero,"July 29, 2024",“100 million ballots (Democrats) prefilled now have the wrong name.”,Social Media,false,Fake,0
Jeff Cercone,"July 29, 2024","""Mike Pence endorsed Kamala Harris.”",TikTok posts,false,Fake,0
Sara Swann,"July 29, 2024","Kamala Harris said, “Today we celebrate the Olympics. Because Olympians are Olympic.”",Threads posts,pants-fire,Fake,0
Amy Sherman,"July 29, 2024",Kamala Harris “supported abolishing ICE.”,Donald Trump,false,Fake,0
Sara Swann,"July 26, 2024",Rose Garden video shows that President Joe Biden was taller when he emerged from July 24 Oval Office speech.,Instagram posts,pants-fire,Fake,0
Louis Jacobson,"July 26, 2024","“Today, America has record energy production and we are energy independent.”",Kamala Harris,mostly-true,Real,1
Marta Campabadal,"• July 26,","""Taylor Swift y Beyoncé se unen para un concierto épico en apoyo a Kamala Harris!"".",X posts,false,Fake,0
Jeff Cercone,"July 26, 2024",ABC News reporter said “government tried to kill” former President Donald Trump.,Social Media,false,Fake,0
Kwasi Gyamfi,"• July 26,","Thomas Matthew Crooks worked for BlackRock ""in the past"" and BlackRock owned the building Crooks stood on when he shot at the Trump campaign rally.",Facebook posts,false,Fake,0
Marta Campabadal,"• July 25,","Bruce Willis murió, 23 de julio de 2024.",Facebook posts,false,Fake,0
Loreben Tuquero,"July 25, 2024","Financial advisory company Austin Private Wealth shorted 12 million shares of Trump Media July 12, the day before former President Donald Trump’s attempted assassination.",Instagram posts,false,Fake,0
Ciara O'Rourke,"July 25, 2024",Video shows President Joe Biden’s July 24 address is “either CGI or a mask.”,Viral image,pants-fire,Fake,0
Jeff Cercone,"July 25, 2024",Videos show Jill Biden alone in Paris and at White House with Joe Biden at the same time.,X posts,pants-fire,Fake,0
Marta Campabadal,"• July 25,",Imágenes muestran a la subdirectora del FBI Janeen DiGuiseppi sentada detrás del expresidente Donald Trump durante su intento de asesinato.,X posts,false,Fake,0
Ciara O'Rourke,"July 25, 2024","Says Bruce Willis died, as of July 23, 2024.",Viral image,false,Fake,0
Ciara O'Rourke,"July 25, 2024",Says Taylor Swift “announced a fund raising concert with Beyoncé in support of Harris” on July 23.,Threads posts,false,Fake,0
Ciara O'Rourke,"July 25, 2024",Image shows former President Donald Trump golfing July 23 with “no wound. No bandage.”,Viral image,false,Fake,0
Ciara O'Rourke,"July 25, 2024",President Joe Biden is stepping down from the 2024 presidential race because he’s dead.,Instagram posts,pants-fire,Fake,0
Marta Campabadal,"• July 25,","""Muere la madre de Michelle Obama, deja herencia a 'Mi hijo Michael'"".",X posts,pants-fire,Fake,0
Sara Swann,"July 24, 2024","Usha Vance, wife of Republican vice presidential nominee JD Vance, posted on X that Vice President Kamala Harris was “absolutely a DEI hire.”",Threads posts,false,Fake,0
Ciara O'Rourke,"July 24, 2024",Photo shows “Thomas Matthew Crooks wearing a quipá.”,Viral image,false,Fake,0
Madison Czopek,"July 24, 2024","The death of Rep. Sheila Jackson Lee, D-Texas, six days after the Trump rally shooting was linked to her “oversight of the Secret Service.”",X posts,false,Fake,0
Mia Penner,"July 24, 2024","As of July 23, 2024, “Trump has announced he won’t debate Kamala Harris.”",Threads posts,false,Fake,0
Ranjan Jindal,"July 24, 2024",Starbucks was an “official sponsor of the RNC.”,Facebook posts,false,Fake,0
Marta Campabadal,"• July 24,","""Kamala Harris no es elegible para postularse para la presidencia. Ninguno de sus padres eran ciudadanos estadounidenses natos cuando ella nació"".",X posts,pants-fire,Fake,0
Ciara O'Rourke,"July 24, 2024","“Michelle Obama’s mother dies, leaves inheritance to ‘my son Michael.’”",Viral image,pants-fire,Fake,0
Samantha Putterman,"July 24, 2024",Project 2025 calls for restricting “access to IVF and contraception.”,Kamala Harris,barely-true,Fake,0
Maria Ramirez,"• July 24,","President Joe Biden appointed ""Kamala Harris to be his border czar to deal with illegal immigration … Harris was put in charge of stopping illegal immigration.""",Republican National Committee,barely-true,Fake,0
Kwasi Gyamfi,"• July 23,",Images show FBI assistant director Janeen DiGuiseppi seated behind former President Donald Trump during his assassination attempt.,Facebook posts,false,Fake,0
Ciara O'Rourke,"July 23, 2024","Fox News aired a chyron that said, “Kamala could be the oldest elected female president.”",Viral image,pants-fire,Fake,0
Loreben Tuquero,"July 23, 2024",The absence of the presidential seal on President Joe Biden’s letter announcing his exit from the presidential race proves “this wasn’t Biden’s choice.”,X posts,false,Fake,0
Ranjan Jindal,"July 23, 2024",Photo shows Trump shooter Thomas Matthew Crooks was transgender.,Instagram posts,false,Fake,0
Ranjan Jindal,"July 23, 2024",There are nine states “where Biden’s name can’t be removed and no one can be added. That’s over 130 electoral votes in the toilet.”,Instagram posts,false,Fake,0
Madison Czopek,"July 23, 2024",“The state of Washington has already sent out their ballots” for the 2024 presidential election.,Instagram posts,false,Fake,0
Mia Penner,"July 23, 2024","Former President Jimmy Carter “passed away Tuesday, July 23, at 01:34 am at his home in Plains, Georgia at the age of 99.”",X posts,false,Fake,0
Louis Jacobson,"July 23, 2024",Project 2025 would “end Head Start.”,Kamala Harris,true,Real,1
Ciara O'Rourke,"July 22, 2024","Says former President Donald Trump said, “It took my entire ear off. The whole ear.”",Viral image,false,Fake,0
Sara Swann,"July 22, 2024","Kamala Harris “returned” a $5,000 donation Donald Trump made to her campaign in 2011.",Threads posts,false,Fake,0
Jeff Cercone,"July 22, 2024",Kamala Harris “is not eligible to hold the office of president” because her parents were non-citizens.,Instagram posts,pants-fire,Fake,0
Loreben Tuquero,"July 22, 2024",A July 21 video aired by PBS News shows President Joe Biden’s “first video address following dropping out of the presidential race.”,X posts,pants-fire,Fake,0
Kwasi Gyamfi,"• July 19,",Bill Gates is responsible for July 19 global tech outage.,X posts,false,Fake,0
Mia Penner,"July 19, 2024","An executive of the gay dating app Grindr said the Republican National Convention is ""basically Grindr’s Super Bowl.'”",X posts,false,Fake,0
Mia Penner,"July 19, 2024",A photo shows a Secret Service sniper at the July 13 Trump rally wearing a red string bracelet tied to Kabbalah Judaism.,Facebook posts,false,Fake,0
Madeline Heim,"July 18, 2024","After being shot at a Milwaukee rally in 1912, former President Teddy Roosevelt “finished his speech and he kept fighting.”",Donald Trump Jr.,mostly-true,Real,1
Amy Sherman,"July 18, 2024","""Unlike Mike Pence, (JD) Vance said he would have carried out Trump's plan to overturn the 2020 election.""",Kamala Harris,mostly-true,Real,1
Mia Penner,"July 17, 2024",A photo shows proof of a bullet hole in Trump’s jacket.,Facebook posts,false,Fake,0
Madeline Heim,"July 17, 2024","Milwaukee's Marcus Performing Arts Center – where 'The Daily Show' had been scheduled – “was originally located in the ‘soft perimeter,’ they called it, security-wise” but “was shifted, understandably so, to the ‘hard perimeter.’”",Jon Stewart,false,Fake,0
Amy Sherman,"July 17, 2024","“Just last week, Ruben Gallego voted to let the millions of people who poured into our country illegally cast a ballot in this upcoming election.”",Kari Lake,false,Fake,0
Kwasi Gyamfi,"• July 17,",The Secret Service staged the July 13 shooting at Trump rally.,Threads posts,pants-fire,Fake,0
Kwasi Gyamfi,"• July 17,",Video shows Donald Trump sleeping at the Republican National Convention’s first night.,X posts,false,Fake,0
Loreben Tuquero,"July 16, 2024","Photo shows that two days after former President Donald Trump’s attempted assassination, the top part of his ear “grew back.”",Threads posts,pants-fire,Fake,0
Loreben Tuquero,"July 16, 2024",The shooter who attempted to assassinate Donald Trump was “Maxwell Yearick.”,Instagram posts,pants-fire,Fake,0
Sara Swann,"July 16, 2024",Photos show former President Donald Trump golfing after being shot.,Social Media,false,Fake,0
Mia Penner,"July 16, 2024",Switzerland banned mammograms.,Instagram posts,false,Fake,0
Ranjan Jindal,"July 16, 2024",Trump campaign rally gunman Thomas Matthew Crooks was “arrested more than once.”,Threads posts,false,Fake,0
Madison Czopek,"July 15, 2024","A Secret Service agent named Jonathan Willis said he “had the assassin in his sights for 3 minutes, but he was told not to engage by the head of the (Secret Service) unit.”",Instagram posts,false,Fake,0
Loreben Tuquero,"July 15, 2024","Photo shows the Instagram account of shooter Thomas Matthew Crooks, with the bio, “In my quest to end Epsteins evil empire.”",Threads posts,false,Fake,0
Ranjan Jindal,"July 15, 2024",Video shows Trump gunman Thomas Matthew Crooks yelling “slash Republican throats”,X posts,false,Fake,0
Sara Swann,"July 15, 2024","Photo shows Barron Trump on July 13, 2024, at Butler, Pennsylvania, rally.",Threads posts,false,Fake,0
Grace Abels,"July 15, 2024",Thomas Crooks “was a registered Democrat who voted for Clinton and Biden.”,Facebook posts,pants-fire,Fake,0
Loreben Tuquero,"July 15, 2024",Photo shows Secret Service agents smiling while escorting Donald Trump offstage after assassination attempt.,Threads posts,pants-fire,Fake,0
Marta Campabadal,"• July 15,","Donald Trump escenificó el tiroteo en su mitin en Butler, Pensilvania.",X posts,pants-fire,Fake,0
Louis Jacobson,"July 15, 2024",“The idea that there’s political violence or violence in America like this is just unheard of.”,Joe Biden,false,Fake,0
Maria Briceño,"July 15, 2024","Estas imágenes muestran a Thomas Matthew Crooks, el sospechoso del tiroteo en el mitin de Donald Trump.",Social Media,pants-fire,Fake,0
Kwasi Gyamfi,"• July 14,",A photo from viral social media posts shows Trump rally shooting suspect Thomas Matthew Crooks.,Social Media,pants-fire,Fake,0
Samantha Putterman,"July 14, 2024","Donald Trump staged the shooting at his rally in Butler, Pennsylvania.",Social Media,pants-fire,Fake,0
Maria Ramirez,"• July 14,","“El que disparo Donald Trump, Mark Violets ha sido asesinado.”",Instagram posts,pants-fire,Fake,0
Maria Ramirez,"• July 14,",“Butler Police confirm the shooter’s name is Mark Violets. He is a known Antifa extremist.”,Facebook posts,pants-fire,Fake,0
Loreben Tuquero,"July 14, 2024","“Trump rally shooter has been identified as 32-year-old California resident, Hank Pecker.”",Threads posts,pants-fire,Fake,0
D.L. Davis,"July 13, 2024","""The Trump administration handed out taxpayer dollars to a foreign company. Hundreds of homes and farms were bulldozed, and over $500 million in taxpayer dollars were wasted preparing for Foxconn.""",Joe Biden,half-true,Fake,0
Jeff Cercone,"July 12, 2024","""Project 2025 eliminates OSHA and overtime wages.”",Threads posts,false,Fake,0
Jacob Gardenswartz,"July 12, 2024","Lower insulin prices were the work of the Trump administration, not “Crooked Joe Biden. He had NOTHING to do with it.”",Donald Trump,false,Fake,0
Loreben Tuquero,"July 12, 2024","BBC News published a graphic quoting President Joe Biden saying, “Let me say this as clearly and simply as I can: [inaudible].”",Social Media,false,Fake,0
Kwasi Gyamfi,"• July 12,","“Anyone on Social Security or Disability should know, Project 2025 totally eliminates
all benefits.”",D.L. Hughley,false,Fake,0
Loreben Tuquero,"July 12, 2024",List shows settlements Donald Trump made to 10- to 13-year-old victims of child sex crimes.,Threads posts,false,Fake,0
Ranjan Jindal,"July 12, 2024",CNN producer “caught on hot mic” commenting on Maxine Waters’ “wig problem.”,Instagram posts,false,Fake,0
Madison Czopek,"July 12, 2024","In 2020, “only nine NATO allies were spending 2%” of their GDP on defense. “This year, 23 will spend at least 2%.”",Joe Biden,mostly-true,Real,1
Maria Ramirez,"• July 11,","“(Homeland Security Secretary Alejandro) Mayorkas said, ‘Hey you don’t have to detain aggravated felons,’ those are rapists, child predators, you know, murderers.”",Michael McCaul,barely-true,Fake,0
Grace Abels,"July 11, 2024",LGBTQ+ leaders sign World Economic Forum treaty to “Accept Pedophiles as 'Legally Protected Minority’”,X posts,pants-fire,Fake,0
Mia Penner,"July 11, 2024",Official Navy photographs show an unidentified flying object in the Arctic Ocean in 1971.,Facebook posts,false,Fake,0
Loreben Tuquero,"July 11, 2024",“Every single McDonald’s french fry comes exclusively from potatoes grown on Bill Gates-owned farmland.”,Facebook posts,false,Fake,0
Samantha Putterman,"July 11, 2024","Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.""",Kamala Harris,true,Real,1
Hope Karnopp,"July 11, 2024",“Deadlines have passed in … Wisconsin” to replace President Joe Biden on the ballot.,X posts,false,Fake,0
Louis Jacobson,"July 10, 2024","Kamala Harris ""co-sponsored, fully sponsored"" the Green New Deal.",Byron Donalds,true,Real,1
Jeff Cercone,"July 10, 2024","""Miami Dolphins QB Tua Tagovailoa” had a “front-row seat” reserved at Donald Trump’s Miami rally.",TikTok posts,false,Fake,0
Ciara O'Rourke,"July 10, 2024",Video shows Elon Musk saying Oreos are “satanic.”,Viral image,pants-fire,Fake,0
Matt Volz,"July 10, 2024","“Elective abortions up to and including the moment of birth. Healthy, 9-month-year-old baby killed at the moment of birth. That’s what Jon Tester and the Democrats have voted for.”",Tim Sheehy,false,Fake,0
Grace Abels,"July 9, 2024","Video shows “huge green coloured meteor” on July 7, 2024, in Budapest, Hungary.",Threads posts,false,Fake,0
Madison Czopek,"July 9, 2024",CNN reported July 3 that “Joe has decided to drop out of the 2024 Presidential race and will be replaced by Hunter Biden.”,Threads posts,false,Fake,0
Kwasi Gyamfi,"• July 9,",“The New York Times has closed its main Threads account.”,Threads posts,false,Fake,0
Ciara O'Rourke,"July 9, 2024",“Officially; Lia Thomas has lost every title.”,Viral image,false,Fake,0
Madison Czopek,"July 9, 2024",Video shows tornado caused by Hurricane Beryl in July 2024.,Facebook posts,false,Fake,0
Maria Briceño,"July 9, 2024","La compañía Fisher-Price creó un juguete ""Ouija para niños”.",Facebook posts,false,Fake,0
Ciara O'Rourke,"July 8, 2024","Video shows “Florida beach tornado” July 7, 2024",Viral image,false,Fake,0
Loreben Tuquero,"July 8, 2024",Photo shows Mount Etna erupting in Sicily in July 2024.,Facebook posts,false,Fake,0
Ranjan Jindal,"July 8, 2024",President Joe Biden had a “medical emergency on Air Force One” on July 5.,Instagram posts,false,Fake,0
Ciara O'Rourke,"July 8, 2024",The Associated Press reported “prosecutors are reconsidering bringing charges against former President Donald J. Trump on child rape and molestation charges.”,Threads posts,false,Fake,0
Jeff Cercone,"July 8, 2024",Project 2025 mandates women carry “period passports” to “track their menstrual cycles” and “monitor pregnancies.”,Threads posts,false,Fake,0
Ciara O'Rourke,"July 5, 2024",“Roundabouts are causing tornadoes.”,Viral image,false,Fake,0
Ciara O'Rourke,"July 5, 2024","A McDonald’s billboard said, “Hey crypto bro’s we are hiring.”",Viral image,false,Fake,0
Ciara O'Rourke,"July 5, 2024","“In official capacity, Biden orders DOJ to arrest 6 justices of SCOTUS.”",Viral image,pants-fire,Fake,0
Maria Briceño,"July 5, 2024","La comunidad de hispanos se puede beneficiar de una ""Nueva ley de prosperidad nacional elimina hasta 47,000 en deudas de tarjetas de crédito"".",Facebook posts,false,Fake,0
Ciara O'Rourke,"July 5, 2024","Photo shows “Roman tidal baths in Malta, still at sea level after thousands of years!”",Facebook posts,false,Fake,0
Ciara O'Rourke,"July 5, 2024",“Disney and Google bought the rights to the first King James Bible.”,Facebook posts,false,Fake,0
Jeff Cercone,"July 5, 2024","""For 18 months under President Trump, not a single American was harmed in Afghanistan.”",Brigitte Gabriel,false,Fake,0
Samantha Putterman,"July 5, 2024",C-sections are coded as abortions in hospitals.,Threads posts,false,Fake,0
Maria Briceño,"July 3, 2024","""Huracán Beryl pasado por la isla Canarias todo quedo bajo Agua y Horacio por todo la isla afectada "".",Threads posts,false,Fake,0
Ciara O'Rourke,"July 3, 2024",“Riley Gaines won $10 million against Whoopi Goldberg for defaming her reputation.”,Facebook posts,false,Fake,0
Marta Campabadal,"• July 3,","Activistas de Just Stop Oil ""han rociado con pintura naranja el avión de Taylor Swift, en el aeródromo privado de Stansted, en el Reino Unido"".",Facebook posts,false,Fake,0
Grace Abels,"July 3, 2024","""Malaysia Airlines Flight MH370 returns after 10-year mystery""",Facebook posts,false,Fake,0
Maria Briceño,"July 3, 2024","“En la última conferencia médica en Estados Unidos, el Dr. Juan Rivera presentó una nueva terapia que ha sido validada y demostrada efectiva para manejar el tinnitus”.",Facebook posts,pants-fire,Fake,0
Jeff Cercone,"July 3, 2024","""President Zelenskyy’s wife orders 4 million dollar Bugatti” in Paris with U.S. tax money.",Instagram posts,false,Fake,0
Sophie Carson,"July 3, 2024",“Planes full of unvetted ‘refugees’ are being accepted at the Milw. & Madison airports!”,Juneau County Wisconsin Republicans .,pants-fire,Fake,0
Ciara O'Rourke,"July 3, 2024",Video shows Dr. Ben Carson promoting an erectile dysfunction treatment.,Viral image,false,Fake,0
Ciara O'Rourke,"July 3, 2024",“WNBA organizers have officially announced an investigation into the referees in all of Caitlin Clark's games for ignoring all dirty actions by her opponents against her.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"July 3, 2024",Michael J. Fox “doesn’t have Parkinson’s disease.”,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"July 3, 2024",“Just Stop Oil activists paint Taylor Swift’s private jets.”,Viral image,false,Fake,0
Ciara O'Rourke,"July 3, 2024","“R. Kelly has been released from United States of America Federal Prison, Chicago.”",Instagram posts,false,Fake,0
Maria Ramirez,"• July 3,","Border Patrol agents take migrants ""to the Yuma airport, put them on a plane to any destination they want. ... And they pay their ticket. And then they get reimbursement from FEMA.""",Robert F. Kennedy Jr.,false,Fake,0
Maria Briceño,"July 2, 2024",El 30 de junio de 2024  falleció el expresidente de Estados Unidos Barack Obama.,Facebook posts,false,Fake,0
Mia Penner,"July 2, 2024","A 2019 clip from the show “Project Runway,” with a face mask and a designer named Kovid, is proof that the COVID-19 pandemic was a hoax.",Instagram posts,false,Fake,0
Ciara O'Rourke,"July 2, 2024","Photo shows a missing child in Pike County, Missouri.",Facebook posts,false,Fake,0
Jeff Cercone,"July 2, 2024",The city of San Francisco posted street signs warning that “stolen goods must remain under $950.”,Instagram posts,false,Fake,0
Grace Abels,"July 2, 2024","“Gordon Ramsay kicks Lia Thomas out of his restaurant, 'Dine in some woke place.'""",Facebook posts,false,Fake,0
Amy Sherman,"July 2, 2024","“The weapons that Ukraine used in the early days of this war to fend off the Russian invasion are the weapons that Donald Trump sent, that Barack Obama and Joe Biden had refused to send.”",Tom Cotton,half-true,Fake,0
Grace Abels,"July 1, 2024",A jury “ordered Disney and Lucasfilm to pay” actor Gina Carano $115 million.,Facebook posts,false,Fake,0
Sara Swann,"July 1, 2024","Says as of June 30, “the decision has been made that (President Joe Biden) will quit the campaign.”",Bill O'Reilly,false,Fake,0
Marta Campabadal,"• July 1,","“Nuevo programa en línea está enviando a estudiantes laptops Apple gratis y subvenciones en efectivo"".",Facebook posts,false,Fake,0
Mia Penner,"July 1, 2024","Chiefs' Coach Andy Reid ""fires 3 top players for anthem kneeling.""",Facebook posts,false,Fake,0
Jeff Cercone,"July 1, 2024","""No live audience” at CNN debate means “We are watching a scripted movie.”",Instagram posts,false,Fake,0
Jeff Cercone,"June 28, 2024","""There were 42,000 people diagnosed with (an) STD in Houston” in one week.",Instagram posts,false,Fake,0
Grace Abels,"June 28, 2024",“Actor and comedian Tim Allen died suddenly” in a “fatal car accident.”,Facebook posts,false,Fake,0
Madison Czopek,"June 28, 2024",The Gates Foundation “awarded $9.5 million to UW-Madison to make H5N1 bird flu transmissible to humans.”,Instagram posts,false,Fake,0
Vanessa Swales,"June 28, 2024",“Under (the Biden) administration we have witnessed the fastest growth of Black-owned small businesses in more than 30 years.”,David Crowley,true,Real,1
Mia Penner,"June 28, 2024","CNN's David Chalian referred to Michelle Obama as ""Big Mike"" on air during presidential debate coverage.",TikTok posts,false,Fake,0
Ranjan Jindal,"June 28, 2024",Photo shows a Houston woman baking bread in her mailbox.,Facebook posts,false,Fake,0
Hope Karnopp,"June 28, 2024",Wisconsin had a “record-breaking year” for tourism in 2023.,Tony Evers,true,Real,1
Jeff Cercone,"June 28, 2024","“CNN will implement a 1-2 minute delay for tonight’s presidential debate instead of the standard 7-second delay, potentially allowing time to edit parts of the broadcast.”",X posts,false,Fake,0
Jeff Cercone,"June 27, 2024","""Hospitals murdered patients” with remdesivir, a drug banned from Ebola trials because of “53% kill rate.”",Instagram posts,false,Fake,0
Madison Czopek,"June 27, 2024","“Starting from June 2024, the United States will provide a six-month free CDL course.”",Facebook posts,false,Fake,0
Mia Penner,"June 26, 2024",Former President Donald Trump is “against mail in voting.”,Pennsylvania Values PAC,half-true,Fake,0
Grace Abels,"June 26, 2024",CERN scientists admit they “accidentally” ended the world in 2012 while performing experiments into the Higgs boson particle.,Threads posts,false,Fake,0
Maria Briceño,"June 26, 2024",Foto muestra a un delfín rosado en la costa de Carolina del Norte.,Facebook posts,false,Fake,0
Ciara O'Rourke,"June 25, 2024",Image shows Disney+ poster for new “Vader” show.,Facebook posts,false,Fake,0
Ciara O'Rourke,"June 25, 2024",“Brittney Griner asked Angel Reese instead of Caitlin Clark to compete in the 3x3 Olympics.”,Threads posts,false,Fake,0
Ciara O'Rourke,"June 25, 2024",“Candace Owens vows to have Taylor Swift banned from next NFL season.”,Facebook posts,false,Fake,0
Maria Briceño,"June 25, 2024","""Ahora mismo al abrir una cuenta bancaria en línea recibirás $1,000 listos para ser retirados, no hay depósito ni tarifas ocultas"".",Facebook posts,false,Fake,0
Ciara O'Rourke,"June 25, 2024",“Lia Thomas ordered to compete with men.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"June 25, 2024",“Lia Thomas announces retirement from competitive swimming.”,Viral image,false,Fake,0
Ciara O'Rourke,"June 25, 2024","“Lia Thomas declares: ‘In our country, only people like (Harrison) Butker have a place — I’m leaving the USA.”",Viral image,false,Fake,0
Kwasi Gyamfi,"• June 25,","The U.S. House “has authorized a new $1,000 stimulus card program to support those in need.”",Facebook posts,false,Fake,0
Maria Briceño,"June 24, 2024","Video muestra a Rita Moreno hablando con Jorge Ramos sobre un ""método natural"" para tratar la diabetes.",Facebook posts,false,Fake,0
Jeff Cercone,"June 24, 2024",“Congresswoman (Anna Paulina) Luna confirms that Biden will be replaced on 2024 ballot.”,Instagram posts,false,Fake,0
Madison Czopek,"June 24, 2024",Video shows a banner with Iran’s supreme leader displayed at the Brooklyn Museum.,Instagram posts,false,Fake,0
Sara Swann,"June 24, 2024",Photo shows a pink dolphin spotted off the North Carolina coast.,Facebook posts,false,Fake,0
Grace Abels,"June 24, 2024",“Caitlin Clark rejects $400 million deal from Nike” saying “not with that Kaepernick clown.’”,Facebook posts,false,Fake,0
Ciara O'Rourke,"June 24, 2024",Video shows “fences have been installed around the Supreme Court” in 2024.,Viral image,false,Fake,0
Loreben Tuquero,"June 24, 2024",All men aged 18 to 26 “have been automatically registered in the U.S. Army.”,Threads posts,false,Fake,0
Ciara O'Rourke,"June 21, 2024","“Justin Timberlake allegedly had traces of molly, poppers, Truvada, and coke in his bloodstream following his DWI arrest in New York.”",Viral image,false,Fake,0
Grace Abels,"June 21, 2024",“Caitlin Clark has officially joined the Canadian women's Olympic team.”,Threads posts,false,Fake,0
Grace Abels,"June 21, 2024","“En la Eurocopa 2020, la Unión Europea impuso a todos los capitanes de selecciones nacionales llevar el distintivo lgtb. Pero Cristiano fue el único capitán de la Euro que se negó y no llevo el cintillo lgtb”.",Facebook posts,false,Fake,0
Jeff Cercone,"June 21, 2024","""Pfizer CEO Albert Bourla admitted yesterday that Covid was used as a test.”",Threads posts,false,Fake,0
Ciara O'Rourke,"June 21, 2024",Caitlin Clark has been named to the U.S. women’s Olympic basketball team after Brittney Griner was released for “undisclosed reasons.”,Threads posts,false,Fake,0
Jeff Cercone,"June 21, 2024","California Assembly Bill 1955 “would allow schools to secretly, socially and perhaps medically transition your child without your knowledge and consent.""",Instagram posts,false,Fake,0
Jill Terreri,"• June 21,",“The loss of SALT deductibility cost our state $15 billion in revenue. So New Yorkers are paying more in taxes and receiving fewer services because of Donald Trump.”,Ritchie Torres,barely-true,Fake,0
Ciara O'Rourke,"June 21, 2024",Video shows a man interrupting White House Press Secretary Karine Jean-Pierre on “The View.”,Viral image,false,Fake,0
